dataset,method,top2_accuracy,mean_rank_A,mean_rank_B,n_queries,timestamp
data/20_complementary.csv,leave_one_out,1.0,1.65,1.35,20,2025-12-12T22:15:10.627977
data/20_complementary.csv,permutation_shapley,0.95,1.75,1.3,20,2025-12-12T22:15:10.627977
data/20_complementary.csv,monte_carlo_shapley,1.0,1.7,1.3,20,2025-12-12T22:15:10.627977
data/20_synergy.csv,leave_one_out,0.7,3.2,1.1,20,2025-12-12T22:23:27.747066
data/20_synergy.csv,permutation_shapley,0.35,3.55,1.1,20,2025-12-12T22:23:27.747066
data/20_synergy.csv,monte_carlo_shapley,0.2,3.8,1.1,20,2025-12-12T22:23:27.747066
data/20_duplicate.csv,leave_one_out,0.7,1.15,3.1,20,2025-12-12T22:31:44.830668
data/20_duplicate.csv,permutation_shapley,0.95,1.25,1.8,20,2025-12-12T22:31:44.830668
data/20_duplicate.csv,monte_carlo_shapley,0.9,1.1,2.0,20,2025-12-12T22:31:44.830668
